t (s),RPM,Torque,Power (W),N_Re,N_Po
0.2197258472442627,0.0,0.0,0.0,0.0,0.0
0.32125139236450195,0.0,0.0,0.0,0.0,0.0
0.42286062240600586,0.0,0.0,0.0,0.0,0.0
0.5246131420135498,0.0,0.0,0.0,0.0,0.0
0.6261425018310547,0.0,0.0,0.0,0.0,0.0
0.7277853488922119,0.0,0.0,0.0,0.0,0.0
0.8296175003051758,0.0,0.0,0.0,0.0,0.0
0.9314165115356445,0.0,0.0,0.0,0.0,0.0
1.033010482788086,0.0,0.0,0.0,0.0,0.0
1.1351370811462402,0.0,0.0,0.0,0.0,0.0
1.3486952781677246,0.0,0.0,0.0,0.0,0.0
1.4501643180847168,0.0,0.0,0.0,0.0,0.0
1.551602840423584,0.0,0.0,0.0,0.0,0.0
1.653259515762329,0.0,0.0,0.0,0.0,0.0
1.755251169204712,0.0,0.0,0.0,0.0,0.0
1.8570094108581543,0.0,0.0,0.0,0.0,0.0
1.9585061073303223,0.0,0.0,0.0,0.0,0.0
2.060448169708252,0.0,0.0,0.0,0.0,0.0
2.161966323852539,0.0,0.0,0.0,0.0,0.0
2.2638821601867676,0.0,0.0,0.0,0.0,0.0
2.4710254669189453,0.0,0.0,0.0,0.0,0.0
2.572862386703491,0.0,0.0,0.0,0.0,0.0
2.6745965480804443,0.0,0.0,0.0,0.0,0.0
2.7761991024017334,0.0,0.0,0.0,0.0,0.0
2.878431558609009,2.859695,0.0,0.0,213.09874439936794,0.0
2.9819412231445312,179.873034,0.0,0.0,13403.778268907985,0.0
3.0848560333251953,241.419891,0.0,0.0,17990.12679503663,0.0
3.190528631210327,292.844302,0.0,0.0,21822.170917076583,0.0
3.2960047721862793,399.87807,0.0,0.0,29798.11295604691,0.0
3.4003918170928955,513.236035,0.0,0.0,38245.32149023237,0.0
3.603963851928711,552.496136,0.0,0.0,41170.905592065734,0.0
3.7060346603393555,562.201767,0.0,0.0,41894.14977709372,0.0
3.809141159057617,564.9683,0.0,0.0,42100.30627582502,0.0
3.912537097930908,566.358347,0.0,0.0,42203.88979447163,0.0
4.015546798706055,564.022396,0.0,0.0,42029.81940407039,0.0
4.117503881454468,563.837861,0.0,0.0,42016.06822543151,0.0
4.220897912979126,565.229685,0.0,0.0,42119.78416255939,0.0
4.323254823684692,565.302877,0.0,0.0,42125.238283820596,0.0
4.426603078842163,566.131833,0.0,0.0,42187.01042482247,0.0
4.52959942817688,567.84954,0.0,0.0,42315.010510477056,0.0
4.731862545013428,571.867493,0.0,0.0,42614.42032143789,0.0
4.833775281906128,572.445408,0.0,0.0,42657.48538986987,0.0
4.9349846839904785,570.73212,0.0,0.0,42529.81459924552,0.0
5.036098480224609,569.476425,0.0,0.0,42436.24272257734,0.0
5.137391090393066,570.663255,0.0,0.0,42524.6829173588,0.0
5.238542318344116,571.122994,0.0,0.0,42558.94174693725,0.0
5.339724779129028,569.902938,0.0,0.0,42468.025617176245,0.0
5.44079852104187,568.729421,0.0,0.0,42380.57748049338,0.0
5.5415849685668945,566.818301,0.0,0.0,42238.164645419536,0.0
5.643092393875122,566.434649,0.0,0.0,42209.575666704564,0.0
5.810263156890869,573.834139,0.0,0.0,42760.97084283197,0.0
5.911624193191528,572.346874,0.0,0.0,42650.1428335201,0.0
6.01323390007019,571.905694,0.0,0.0,42617.26698345423,0.0
6.114217758178711,569.809742,0.0,0.0,42461.08083789628,0.0
6.215138673782349,569.822466,0.0,0.0,42462.029004894415,0.0
6.316608667373657,567.125463,0.0,0.0,42261.05374251807,0.0
6.417846918106079,570.502515,0.0,0.0,42512.70489446657,0.0
6.518824815750122,572.513812,0.0,0.0,42662.58271895982,0.0
6.619925260543823,575.17691,0.0,0.0,42861.0314486364,0.0
6.720966815948486,574.594593,0.0,0.0,42817.63835198014,0.0
6.888086795806885,570.809674,0.0,0.0,42535.593768011124,0.0
6.989323616027832,570.338553,0.0,0.0,42500.486774586934,0.0
7.0904669761657715,567.637195,0.0,0.0,42299.18698633218,0.0
7.191423416137695,569.086718,0.0,0.0,42407.20253738848,0.0
7.292707681655884,570.198989,0.0,0.0,42490.08674480636,0.0
7.394005537033081,570.859734,0.0,0.0,42539.32413895789,0.0
7.495288848876953,570.575866,0.0,0.0,42518.170864089356,0.0
7.596229553222656,573.0281,0.0,0.0,42700.906430775125,0.0
7.697380781173706,577.518114,0.0,0.0,43035.493282077645,0.0
7.79839563369751,576.375183,0.0,0.0,42950.324352861375,0.0
7.965816259384155,574.834453,0.0,0.0,42835.5122388218,0.0
8.067287921905518,570.947731,0.0,0.0,42545.8814991697,0.0
8.16856861114502,571.445229,0.0,0.0,42582.95405380969,0.0
8.26961898803711,576.973366,0.0,0.0,42994.899752063415,0.0
8.370909214019775,577.578792,0.0,0.0,43040.01488512017,0.0
8.472390413284302,577.175478,0.0,0.0,43009.96073354152,0.0
8.573588848114014,576.234641,0.0,0.0,42939.85144447941,0.0
8.674728393554688,574.35369,0.0,0.0,42799.68674286728,0.0
8.7758309841156,576.046879,0.0,0.0,42925.85979626311,0.0
8.876987218856812,574.450538,0.0,0.0,42806.90366187353,0.0
9.044384479522705,579.53496,0.0,0.0,43185.78460693813,0.0
9.145647764205933,579.434446,0.0,0.0,43178.294504953636,0.0
9.246395111083984,578.058989,0.0,0.0,43075.79820388819,0.0
9.347524404525757,577.740784,0.0,0.0,43052.08620454504,0.0
9.448690414428711,575.034013,0.0,0.0,42850.38305037069,0.0
9.549760818481445,573.558406,0.0,0.0,42740.4237718718,0.0
9.651076078414917,575.91487,0.0,0.0,42916.02274995243,0.0
9.754683494567871,580.876999,0.0,0.0,43285.79066556851,0.0
9.856717109680176,578.418343,0.0,0.0,43102.57654430383,0.0
9.959900617599487,577.589779,0.0,0.0,43040.83361435693,0.0
10.164323329925537,576.753115,0.0,0.0,42978.48708863157,0.0
10.26706337928772,574.533456,0.0,0.0,42813.082545176854,0.0
10.370666980743408,574.289331,0.0,0.0,42794.89083907656,0.0
10.473508596420288,570.297276,0.0,0.0,42497.41089521078,0.0
10.576808452606201,571.572484,0.0,0.0,42592.436841561015,0.0
10.679795265197754,573.012782,0.0,0.0,42699.76496409188,0.0
10.782910823822021,573.970013,0.0,0.0,42771.09590120236,0.0
10.885728359222412,574.734832,0.0,0.0,42828.08868140892,0.0
10.98883581161499,576.984522,0.0,0.0,42995.731074841715,0.0
11.092260122299194,576.372688,0.0,0.0,42950.13843045803,0.0
11.293253183364868,578.031221,0.0,0.0,43073.72898813809,0.0
11.396226406097412,575.776211,0.0,0.0,42905.69015895945,0.0
11.499513626098633,577.472933,0.0,0.0,43032.12648443989,0.0
11.602852582931519,578.076686,0.0,0.0,43077.116948887095,0.0
11.705679178237915,579.272344,0.0,0.0,43166.21498854904,0.0
11.80893325805664,580.79517,0.0,0.0,43279.69293236428,0.0
11.911657094955444,579.071367,0.0,0.0,43151.23858499791,0.0
12.014857292175293,575.616399,0.0,0.0,42893.78128876877,0.0
12.11765432357788,574.981397,0.0,0.0,42846.46221142273,0.0
12.22084641456604,574.705594,0.0,0.0,42825.90992420274,0.0
12.426033020019531,571.641155,0.0,0.0,42597.55406695626,0.0
12.527532577514648,577.821373,0.0,0.0,43058.09153543256,0.0
12.628648519515991,574.928675,0.0,0.0,42842.53347356703,0.0
12.729864358901978,574.516051,0.0,0.0,42811.78555943316,0.0
12.830906391143799,574.605114,0.0,0.0,42818.42235583014,0.0
12.93185567855835,575.141677,0.0,0.0,42858.40595603617,0.0
13.033263683319092,573.769531,0.0,0.0,42756.15638405992,0.0
13.134498357772827,575.646888,0.0,0.0,42896.05326798962,0.0
13.235722064971924,575.070424,0.0,0.0,42853.0963251718,0.0
13.337023496627808,570.420091,0.0,0.0,42506.56282305392,0.0
13.504186868667603,571.112574,0.0,0.0,42558.16526940499,0.0
13.605162858963013,579.529326,0.0,0.0,43185.36477254112,0.0
13.706752061843872,578.876801,0.0,0.0,43136.739916327715,0.0
13.807801485061646,574.703256,0.0,0.0,42825.73570112496,0.0
13.90900182723999,574.009053,0.0,0.0,42774.00508381846,0.0
14.009700775146484,575.069276,0.0,0.0,42853.01077851084,0.0
14.111167430877686,571.657598,0.0,0.0,42598.7793663865,0.0
14.212421178817749,570.415663,0.0,0.0,42506.23285736172,0.0
14.31354570388794,571.130862,0.0,0.0,42559.52805454032,0.0
14.41471552848816,570.192089,0.0,0.0,42489.57257062472,0.0
14.58273696899414,569.75642,0.0,0.0,42457.107389242185,0.0
14.683770418167114,567.329573,0.0,0.0,42276.26361095486,0.0
14.78492021560669,570.118208,0.0,0.0,42484.06710646334,0.0
14.886120796203613,569.703431,0.0,0.0,42453.15875508121,0.0
14.987222909927368,572.084161,0.0,0.0,42630.56598688527,0.0
15.088399171829224,579.628977,0.0,0.0,43192.79056549392,0.0
15.189502716064453,570.798159,0.0,0.0,42534.73569327177,0.0
15.290758848190308,572.741387,0.0,0.0,42679.54115220417,0.0
15.391994953155518,573.280724,0.0,0.0,42719.73146533479,0.0
15.492645502090454,574.517423,0.0,0.0,42811.88779812553,0.0
15.659756183624268,577.896671,0.0,0.0,43063.70259159617,0.0
15.761094331741333,577.353868,0.0,0.0,43023.253999086766,0.0
15.861963748931885,579.468468,0.0,0.0,43180.82975625908,0.0
15.963446140289307,578.872962,0.0,0.0,43136.453841735936,0.0
16.06428575515747,569.159091,0.0,0.0,42412.59562840988,0.0
16.16576647758484,568.215617,0.0,0.0,42342.289835388794,0.0
16.266920566558838,566.409678,0.0,0.0,42207.71487779301,0.0
16.36777091026306,568.008585,0.0,0.0,42326.86222536378,0.0
16.469208478927612,564.884616,0.0,0.0,42094.07031173573,0.0
16.570422410964966,573.200699,0.0,0.0,42713.76816259777,0.0
16.737399578094482,571.458892,0.0,0.0,42583.972193207315,0.0
16.838526248931885,566.595636,0.0,0.0,42221.57209554212,0.0
16.939728498458862,565.935557,0.0,0.0,42172.384330376815,0.0
17.040843963623047,567.692262,0.0,0.0,42303.290468891624,0.0
17.142096281051636,568.594253,0.0,0.0,42370.50503182911,0.0
17.242976188659668,566.917173,0.0,0.0,42245.53238885241,0.0
17.344306468963623,565.710526,0.0,0.0,42155.6154709177,0.0
17.447625398635864,570.050614,0.0,0.0,42479.03013695124,0.0
17.550233364105225,572.172834,0.0,0.0,42637.17372126327,0.0
17.653648138046265,573.135182,0.0,0.0,42708.88596696614,0.0
17.85027265548706,576.35601,0.0,0.0,42948.895619298404,0.0
17.95368242263794,579.410986,0.0,0.0,43176.54631273606,0.0
18.05617356300354,577.693252,0.0,0.0,43048.54421509555,0.0
18.159562349319458,568.944149,0.0,0.0,42396.578581025926,0.0
18.262101888656616,567.322667,0.0,0.0,42275.74898966525,0.0
18.36533808708191,571.729711,0.0,0.0,42604.153082728575,0.0
18.468947649002075,570.950845,0.0,0.0,42546.113548213405,0.0
18.572166919708252,575.428556,0.0,0.0,42879.783604594675,0.0
18.675255298614502,576.048523,0.0,0.0,42925.982303850746,0.0
18.777748346328735,573.077633,0.0,0.0,42704.5975307373,0.0
18.979018926620483,571.797442,0.0,0.0,42609.20026120633,0.0
19.082508087158203,572.637092,0.0,0.0,42671.76929767173,0.0
19.185359716415405,572.136759,0.0,0.0,42634.48548450928,0.0
19.289294242858887,571.283396,0.0,0.0,42570.894582746376,0.0
19.39223623275757,573.121985,0.0,0.0,42707.90255295527,0.0
19.49398136138916,573.156171,0.0,0.0,42710.450025212274,0.0
19.597928047180176,574.911509,0.0,0.0,42841.25429762473,0.0
19.700915575027466,574.011732,0.0,0.0,42774.20471753334,0.0
19.803647756576538,568.167457,0.0,0.0,42338.70104863696,0.0
19.907089471817017,577.201962,0.0,0.0,43011.93426818303,0.0
20.108360290527344,575.751362,0.0,0.0,42903.838461243584,0.0
20.21115279197693,577.467862,0.0,0.0,43031.74860367538,0.0
20.31372332572937,578.32473,0.0,0.0,43095.60069101897,0.0
20.41623568534851,576.296757,0.0,0.0,42944.4802044021,0.0
20.51973581314087,575.863109,0.0,0.0,42912.165623892186,0.0
20.62285327911377,575.304658,0.0,0.0,42870.550973760415,0.0
20.725763082504272,577.004703,0.0,0.0,42997.234922546,0.0
