t (s),Raw RPM,Filtered RPM,Revolutions,Torque,Power (W),N_Re,N_Po
0.0,498.670213,506.368,553,0.0,0.0,37733.52927638058,0.0
0.01,485.631475,503.257521,553,0.0,0.0,37501.74261053663,0.0
0.02,491.514901,501.496128,554,0.0,0.0,37370.4871316503,0.0
0.03,491.514901,499.998944,554,0.0,0.0,37258.919978322825,0.0
0.04,491.514901,498.726338,554,0.0,0.0,37164.087927801666,0.0
0.05,491.514901,497.644622,554,0.0,0.0,37083.48061779249,0.0
0.06,504.484305,498.670574,554,0.0,0.0,37159.93250619808,0.0
0.07,500.0,498.869988,554,0.0,0.0,37174.792438119366,0.0
0.08,503.04878,499.496807,554,0.0,0.0,37221.501734693185,0.0
0.09,503.259202,500.061166,554,0.0,0.0,37263.55663715323,0.0
0.1,504.278729,500.693801,554,0.0,0.0,37310.69933039957,0.0
0.11,503.516624,501.117224,554,0.0,0.0,37342.2519643867,0.0
0.12,489.343193,499.35112,555,0.0,0.0,37210.6454312149,0.0
0.13,489.982578,497.945838,555,0.0,0.0,37105.92663087884,0.0
0.14,489.982578,496.751349,555,0.0,0.0,37016.91570275579,0.0
0.15,489.982578,495.736034,555,0.0,0.0,36941.2564622879,0.0
0.16,489.982578,494.873015,555,0.0,0.0,36876.94601474269,0.0
0.17,501.336898,495.842598,555,0.0,0.0,36949.19739815629,0.0
0.18,491.773963,495.232303,555,0.0,0.0,36903.719436970496,0.0
0.19,499.878817,495.92928,555,0.0,0.0,36955.6567672016,0.0
0.2,509.51087,497.966518,555,0.0,0.0,37107.46766306381,0.0
0.21,509.992904,499.770476,555,0.0,0.0,37241.895000506855,0.0
0.22,502.7952,500.224185,556,0.0,0.0,37275.70448656138,0.0
0.23,493.421053,499.203715,556,0.0,0.0,37199.661105817206,0.0
0.24,493.421053,498.336316,556,0.0,0.0,37135.02426944365,0.0
0.25,493.421053,497.599026,556,0.0,0.0,37080.082895185835,0.0
0.26,493.421053,496.97233,556,0.0,0.0,37033.382764325695,0.0
0.27,499.429224,497.340864,556,0.0,0.0,37060.845179956894,0.0
0.28,496.509389,497.216143,556,0.0,0.0,37051.55122081082,0.0
0.29,503.29429,498.127865,556,0.0,0.0,37119.490918380405,0.0
0.3,500.0,498.408685,556,0.0,0.0,37140.417062393055,0.0
0.31,502.622378,499.040739,556,0.0,0.0,37187.516460682935,0.0
0.32,505.768882,500.04996,556,0.0,0.0,37262.721588475055,0.0
0.33,493.421053,499.055624,556,0.0,0.0,37188.62566107333,0.0
0.34,493.421053,498.210439,556,0.0,0.0,37125.64416749265,0.0
0.35000000000000003,493.421053,497.492031,556,0.0,0.0,37072.109842060585,0.0
0.36,493.421053,496.881384,556,0.0,0.0,37026.60565053972,0.0
0.37,494.57796,496.53587,556,0.0,0.0,37000.858639207254,0.0
0.38,497.611465,496.69721,556,0.0,0.0,37012.88137289787,0.0
0.39,495.793269,496.561619,557,0.0,0.0,37002.77740312073,0.0
0.4,495.5074,496.403486,557,0.0,0.0,36990.99364864757,0.0
0.41000000000000003,503.29429,497.437106,557,0.0,0.0,37068.01694105676,0.0
0.42,501.882769,498.103956,557,0.0,0.0,37117.70926758204,0.0
0.43,501.336898,498.588897,557,0.0,0.0,37153.84609972944,0.0
0.44,501.336898,499.001097,557,0.0,0.0,37184.56241823244,0.0
0.45,501.336898,499.351467,557,0.0,0.0,37210.67128895998,0.0
0.46,501.336898,499.649282,557,0.0,0.0,37232.8638663374,0.0
0.47000000000000003,501.039192,499.857769,557,0.0,0.0,37248.39990004854,0.0
0.48,494.462025,499.048407,557,0.0,0.0,37188.08786468653,0.0
0.49,489.20778,497.572313,557,0.0,0.0,37078.09229592292,0.0
0.5,493.147841,496.908642,557,0.0,0.0,37028.63686211118,0.0
0.51,494.325997,496.521245,558,0.0,0.0,36999.76881349618,0.0
0.52,505.493883,497.867141,558,0.0,0.0,37100.06228804229,0.0
0.53,517.955801,500.88044,558,0.0,0.0,37324.60729490486,0.0
0.54,517.955801,503.441744,558,0.0,0.0,37515.47053956036,0.0
0.55,517.955801,505.618853,558,0.0,0.0,37677.70434222832,0.0
0.56,517.955801,507.469395,558,0.0,0.0,37815.60302605938,0.0
0.5700000000000001,519.185127,509.226755,558,0.0,0.0,37946.55797386245,0.0
0.58,509.270194,509.233271,558,0.0,0.0,37947.04353313311,0.0
0.59,503.04878,508.305597,558,0.0,0.0,37877.91512446996,0.0
0.6,491.243795,505.746327,558,0.0,0.0,37687.20344942105,0.0
0.61,485.065851,502.644255,558,0.0,0.0,37456.04325638074,0.0
0.62,498.579545,502.034549,559,0.0,0.0,37410.60918629538,0.0
0.63,511.363636,503.433912,559,0.0,0.0,37514.886914605195,0.0
0.64,511.363636,504.623371,559,0.0,0.0,37603.52301720163,0.0
0.65,511.363636,505.634411,559,0.0,0.0,37678.86369323091,0.0
0.66,511.363636,506.493794,559,0.0,0.0,37742.90319333779,0.0
0.67,502.488515,505.893002,559,0.0,0.0,37698.13337668071,0.0
0.68,508.756783,506.32257,559,0.0,0.0,37730.14392376148,0.0
0.6900000000000001,506.161972,506.29848,559,0.0,0.0,37728.34878520559,0.0
0.7000000000000001,503.761419,505.917921,559,0.0,0.0,37699.990290656395,0.0
0.71,502.55848,505.414005,559,0.0,0.0,37662.439479509485,0.0
0.72,487.089997,502.665403,560,0.0,0.0,37457.61916298846,0.0
0.73,487.089997,500.329093,560,0.0,0.0,37283.52202062619,0.0
0.74,490.837696,498.905383,560,0.0,0.0,37177.43000263517,0.0
0.75,490.837696,497.69523,560,0.0,0.0,37087.2518246018,0.0
0.76,490.837696,496.6666,560,0.0,0.0,37010.60037699934,0.0
0.77,492.68018,496.068637,560,0.0,0.0,36966.04137175673,0.0
0.78,490.715354,495.265645,560,0.0,0.0,36906.204016037766,0.0
0.79,501.920391,496.263857,560,0.0,0.0,36980.588775197175,0.0
0.8,511.735808,498.584649,560,0.0,0.0,37153.52954727675,0.0
0.81,509.992904,500.295888,560,0.0,0.0,37281.04765052455,0.0
0.8200000000000001,501.426279,500.465446,561,0.0,0.0,37293.6827731173,0.0
0.8300000000000001,501.426279,500.609571,561,0.0,0.0,37304.42267948374,0.0
0.84,501.426279,500.732077,561,0.0,0.0,37313.5515812657,0.0
0.85,501.426279,500.836208,561,0.0,0.0,37321.31121484658,0.0
0.86,498.670213,500.511308,561,0.0,0.0,37297.10031751124,0.0
0.87,499.429224,500.348996,561,0.0,0.0,37285.00515232721,0.0
0.88,493.421053,499.309804,561,0.0,0.0,37207.56664563686,0.0
0.89,503.540039,499.944339,561,0.0,0.0,37254.85092307815,0.0
0.9,500.266809,499.99271,561,0.0,0.0,37258.45543312742,0.0
0.91,503.786028,500.561708,561,0.0,0.0,37300.856024577115,0.0
0.92,0.0,425.477452,562,0.0,0.0,31705.727635794152,0.0
0.93,0.0,361.655834,562,0.0,0.0,26949.868475521427,0.0
0.9400000000000001,0.0,307.407459,562,0.0,0.0,22907.38821164502,0.0
0.9500000000000001,498.670213,336.096872,562,0.0,0.0,25045.26581322662,0.0
0.96,498.670213,360.482873,562,0.0,0.0,26862.46177084508,0.0
0.97,498.670213,381.210974,562,0.0,0.0,28407.078345998474,0.0
0.98,498.670213,398.82986,562,0.0,0.0,29720.00244605656,0.0
0.99,498.670213,413.805913,562,0.0,0.0,30835.987923654124,0.0
1.0,498.670213,426.535558,562,0.0,0.0,31784.575575886163,0.0
1.01,504.032258,438.160063,562,0.0,0.0,32650.810408539357,0.0
1.02,1232.18077,557.263169,563,0.0,0.0,41526.13534447301,0.0
1.03,1232.18077,658.500809,563,0.0,0.0,49070.161532564845,0.0
1.04,1232.18077,744.552803,563,0.0,0.0,55482.58379244289,0.0
1.05,1232.18077,817.696998,563,0.0,0.0,60933.142720791024,0.0
1.06,1232.18077,879.869564,563,0.0,0.0,65566.11782851644,0.0
1.07,1232.18077,932.716245,563,0.0,0.0,69504.14666263123,0.0
1.08,1671.352167,1043.511633,563,0.0,0.0,77760.3970907506,0.0
1.09,1621.240602,1130.170979,563,0.0,0.0,84218.07800534829,0.0
1.1,1581.10119,1197.81051,564,0.0,0.0,89258.44039639422,0.0
1.11,1548.423423,1250.402447,564,0.0,0.0,93177.48621779498,0.0
1.12,1462.079587,1282.154018,565,0.0,0.0,95543.54970107114,0.0
1.1300000000000001,1462.079587,1309.142854,565,0.0,0.0,97554.70371029254,0.0
1.1400000000000001,1462.079587,1332.083364,565,0.0,0.0,99264.18457341997,0.0
1.1500000000000001,1462.079587,1351.582797,565,0.0,0.0,100717.24326981927,0.0
1.16,1385.46798,1356.665575,565,0.0,0.0,101096.00170729625,0.0
1.17,1362.781955,1357.583032,565,0.0,0.0,101164.3687655806,0.0
1.18,1327.969682,1353.141029,566,0.0,0.0,100833.35959784828,0.0
1.19,1296.843561,1344.696409,566,0.0,0.0,100204.08342716232,0.0
1.2,1266.258129,1332.930667,566,0.0,0.0,99327.32389611902,0.0
1.21,1237.238546,1318.576849,566,0.0,0.0,98257.70612459544,0.0
1.22,1151.13385,1293.460399,567,0.0,0.0,96386.07857033897,0.0
1.23,1085.069444,1262.201756,567,0.0,0.0,94056.74709445494,0.0
1.24,1085.069444,1235.631909,567,0.0,0.0,92076.81530642047,0.0
1.25,1085.069444,1213.047539,567,0.0,0.0,90393.87328286524,0.0
1.26,1080.345711,1193.142265,567,0.0,0.0,88910.57212790803,0.0
1.27,1054.6875,1172.37405,567,0.0,0.0,87362.96633780938,0.0
1.28,1026.630164,1150.512467,567,0.0,0.0,85733.88495399659,0.0
1.29,988.824711,1126.259304,568,0.0,0.0,83926.58781810859,0.0
1.3,959.498253,1101.245146,568,0.0,0.0,82062.58285883587,0.0
1.31,936.095856,1076.472753,568,0.0,0.0,80216.59374318972,0.0
1.32,857.731016,1043.661492,569,0.0,0.0,77771.56428331378,0.0
1.33,857.731016,1015.771921,569,0.0,0.0,75693.28930575952,0.0
1.34,857.731016,992.065785,569,0.0,0.0,73926.7555264017,0.0
1.35,857.731016,971.91557,569,0.0,0.0,72425.20185865834,0.0
1.36,775.70922,942.484617,569,0.0,0.0,70232.06618133024,0.0
1.37,756.811302,914.63362,569,0.0,0.0,68156.66566100533,0.0
1.3800000000000001,731.68429,887.19122,569,0.0,0.0,66111.712970839,0.0
1.3900000000000001,705.948795,860.004857,569,0.0,0.0,64085.83964515726,0.0
1.4000000000000001,683.446456,833.521096,569,0.0,0.0,62112.32281344165,0.0
1.41,656.578289,806.979675,569,0.0,0.0,60134.5092739995,0.0
1.42,574.381491,772.089948,570,0.0,0.0,57534.59669026708,0.0
1.43,574.381491,742.433679,570,0.0,0.0,55324.670915850606,0.0
1.44,574.381491,717.225851,570,0.0,0.0,53446.2340560333,0.0
1.45,574.381491,695.799197,570,0.0,0.0,51849.56271028501,0.0
1.46,505.050505,667.186893,570,0.0,0.0,49717.43111696019,0.0
1.47,476.130015,638.528362,570,0.0,0.0,47581.8547801724,0.0
1.48,456.96511,611.293874,570,0.0,0.0,45552.39527586873,0.0
1.49,431.086641,584.262789,570,0.0,0.0,43538.09295577775,0.0
1.5,409.493834,558.047446,570,0.0,0.0,41584.578095871795,0.0
1.51,390.051395,532.848038,570,0.0,0.0,39706.76867759209,0.0
1.52,320.689355,501.024236,570,0.0,0.0,37335.322684850165,0.0
1.53,320.689355,473.974004,570,0.0,0.0,35319.59356866414,0.0
1.54,320.689355,450.981306,570,0.0,0.0,33606.22376029162,0.0
1.55,320.689355,431.437514,570,0.0,0.0,32149.859520048376,0.0
1.56,255.151633,404.994632,570,0.0,0.0,30179.38890954598,0.0
1.57,226.230695,378.180041,570,0.0,0.0,28181.21928877083,0.0
1.58,202.241131,351.789205,570,0.0,0.0,26214.62704195792,0.0
1.59,168.78858,324.339111,570,0.0,0.0,24169.10101032006,0.0
1.6,148.888301,298.021489,570,0.0,0.0,22207.964524164305,0.0
1.61,129.346026,272.72017,570,0.0,0.0,20322.560902257817,0.0
1.62,71.198025,242.491848,571,0.0,0.0,18070.006883909784,0.0
1.6300000000000001,71.198025,216.797775,571,0.0,0.0,16155.336020476547,0.0
1.6400000000000001,71.198025,194.957812,571,0.0,0.0,14527.865715766202,0.0
1.6500000000000001,71.198025,176.393844,571,0.0,0.0,13144.515997747309,0.0
1.6600000000000001,71.198025,160.614472,571,0.0,0.0,11968.668797045644,0.0
1.67,71.198025,147.202005,571,0.0,0.0,10969.198616834832,0.0
1.68,71.198025,135.801408,571,0.0,0.0,10119.64895992974,0.0
1.69,71.198025,126.1109,571,0.0,0.0,9397.531710575515,0.0
1.7,71.198025,117.873969,571,0.0,0.0,8783.732108238824,0.0
1.71,71.198025,110.872578,571,0.0,0.0,8262.002472333934,0.0
1.72,71.198025,104.921395,571,0.0,0.0,7818.532233378079,0.0
1.73,71.198025,99.862889,571,0.0,0.0,7441.5824967325025,0.0
1.74,71.198025,95.56316,571,0.0,0.0,7121.175302553561,0.0
1.75,71.198025,91.90839,571,0.0,0.0,6848.82916142016,0.0
1.76,0.0,78.122131,571,0.0,0.0,5821.504749948137,0.0
1.77,43.972795,72.999731,571,0.0,0.0,5439.793760380606,0.0
1.78,135.021603,82.303012,571,0.0,0.0,6133.0556291793755,0.0
1.79,208.913649,101.294607,571,0.0,0.0,7548.271254846209,0.0
1.8,254.127649,124.219564,571,0.0,0.0,9256.593139561013,0.0
1.81,294.040774,149.692745,571,0.0,0.0,11154.803573526115,0.0
1.82,362.324066,181.587443,571,0.0,0.0,13531.532594207354,0.0
1.83,362.324066,208.697937,571,0.0,0.0,15551.752313949004,0.0
1.84,362.324066,231.741856,571,0.0,0.0,17268.939008663212,0.0
1.85,362.324066,251.329187,571,0.0,0.0,18728.54768799258,0.0
1.86,404.094828,274.244033,571,0.0,0.0,20436.116121236293,0.0
1.87,422.932331,296.547278,571,0.0,0.0,22098.109272789687,0.0
1.8800000000000001,448.90373,319.400746,571,0.0,0.0,23801.10394039275,0.0
1.8900000000000001,459.108717,340.356941,571,0.0,0.0,25362.717623631106,0.0
1.9000000000000001,461.141171,358.474576,571,0.0,0.0,26712.80750034385,0.0
1.9100000000000001,462.506167,374.079314,571,0.0,0.0,27875.641325098273,0.0
1.92,473.78189,389.034701,572,0.0,0.0,28990.086813762842,0.0
1.93,473.78189,401.746779,572,0.0,0.0,29937.365408335634,0.0
1.94,473.78189,412.552046,572,0.0,0.0,30742.552265885108,0.0
1.95,488.28125,423.911427,572,0.0,0.0,31589.03058901188,0.0
1.96,488.28125,433.5669,572,0.0,0.0,32308.53710032934,0.0
1.97,488.28125,441.774053,572,0.0,0.0,32920.117705741286,0.0
1.98,488.28125,448.750132,572,0.0,0.0,33439.96114209755,0.0
1.99,490.837696,455.063267,572,0.0,0.0,33910.40331922612,0.0
2.0,495.317003,461.101327,572,0.0,0.0,34360.34745823677,0.0
2.0100000000000002,502.745148,467.3479,572,0.0,0.0,34825.82956842648,0.0
2.02,497.577016,471.882268,573,0.0,0.0,35163.72159098297,0.0
2.0300000000000002,497.577016,475.73648,573,0.0,0.0,35450.92975054158,0.0
2.04,497.577016,479.01256,573,0.0,0.0,35695.05667126281,0.0
2.05,497.577016,481.797229,573,0.0,0.0,35902.564628393855,0.0
2.06,493.792325,483.596493,573,0.0,0.0,36036.64217835738,0.0
2.07,492.92689,484.996053,573,0.0,0.0,36140.934586712676,0.0
2.08,501.580739,487.483756,573,0.0,0.0,36326.31323224605,0.0
2.09,502.488515,489.73447,573,0.0,0.0,36494.03193210812,0.0
2.1,504.032258,491.879138,573,0.0,0.0,36653.848296424425,0.0
2.11,508.004926,494.298006,573,0.0,0.0,36834.097495610986,0.0
2.12,504.326979,495.802352,573,0.0,0.0,36946.1983468354,0.0
2.13,504.326979,497.081046,573,0.0,0.0,37041.484062924355,0.0
2.14,504.326979,498.167936,573,0.0,0.0,37122.47692905177,0.0
2.15,504.326979,499.091793,573,0.0,0.0,37191.320902519066,0.0
2.16,488.28125,497.470211,573,0.0,0.0,37070.483859358654,0.0
2.17,492.68018,496.751707,573,0.0,0.0,37016.94238019884,0.0
2.18,493.668506,496.289226,574,0.0,0.0,36982.479222271664,0.0
2.19,496.156754,496.269356,574,0.0,0.0,36980.998549664546,0.0
2.2,501.720183,497.08698,574,0.0,0.0,37041.92625272056,0.0
2.21,501.336898,497.724468,574,0.0,0.0,37089.43058180799,0.0
2.22,506.845134,499.092568,574,0.0,0.0,37191.37865396701,0.0
2.23,506.845134,500.255453,574,0.0,0.0,37278.03451530217,0.0
2.24,506.845134,501.243905,574,0.0,0.0,37351.69197880756,0.0
2.25,506.845134,502.084089,574,0.0,0.0,37414.30080788354,0.0
2.2600000000000002,508.773517,503.087503,574,0.0,0.0,37489.07320966511,0.0
2.27,500.954198,502.767508,574,0.0,0.0,37465.227823106725,0.0
2.2800000000000002,491.20509,501.033145,574,0.0,0.0,37335.98656568845,0.0
2.29,490.715354,499.485476,574,0.0,0.0,37220.65737126534,0.0
2.3000000000000003,492.68018,498.464682,575,0.0,0.0,37144.58984669002,0.0
2.31,493.421053,497.708137,575,0.0,0.0,37088.213628393445,0.0
2.32,503.159626,498.525861,575,0.0,0.0,37149.148783249206,0.0
2.33,503.159626,499.220926,575,0.0,0.0,37200.9436350694,0.0
2.34,503.159626,499.811731,575,0.0,0.0,37244.969240487066,0.0
2.35,503.159626,500.313915,575,0.0,0.0,37282.390986462575,0.0
2.36,513.980263,502.363867,575,0.0,0.0,37435.14930414296,0.0
2.37,509.007897,503.360472,575,0.0,0.0,37509.414312880646,0.0
2.38,504.548949,503.538743,575,0.0,0.0,37522.6987107842,0.0
2.39,493.916207,502.095363,575,0.0,0.0,37415.14092378554,0.0
2.4,487.073231,499.842043,575,0.0,0.0,37247.22803002239,0.0
2.41,490.470852,498.436364,575,0.0,0.0,37142.47964604138,0.0
2.42,498.900972,498.506056,576,0.0,0.0,37147.67295431192,0.0
2.43,498.900972,498.565293,576,0.0,0.0,37152.087176920264,0.0
2.44,498.900972,498.615645,576,0.0,0.0,37155.83930712225,0.0
2.45,498.900972,498.658444,576,0.0,0.0,37159.028602890365,0.0
2.46,503.671203,499.410358,576,0.0,0.0,37215.05972834125,0.0
2.47,508.756783,500.812322,576,0.0,0.0,37319.531277962145,0.0
