elapsed_s,step_index,pwm_percent,loop_period_us,late_us,raw_rpm,filtered_rpm,target_rpm,pwm,error_rpm,intended_mode,intended_fifo,fifo_active,condition
0.010072,-1,20,10072.222000,72.222000,1368.122010,1368.122010,460.000000,819,-908.122010,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.020068,-1,20,9995.611000,67.833000,1406.250000,1373.841208,460.000000,819,-946.250000,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.030062,-1,20,9994.241000,62.074000,1467.803030,1387.935481,460.000000,819,-1007.803030,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.040060,-1,20,9997.981000,60.055000,1441.592262,1395.983999,460.000000,819,-981.592262,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.050062,-1,20,10001.500000,61.555000,1450.224551,1404.120081,460.000000,819,-990.224551,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.060060,-1,20,9998.241000,59.796000,1522.676162,1421.903493,460.000000,819,-1062.676162,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.070061,-1,20,10000.759000,60.555000,1500.750375,1433.730526,460.000000,819,-1040.750375,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.080060,-1,20,9999.944000,60.499000,1496.010638,1443.072543,460.000000,819,-1036.010638,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.090060,-1,20,9999.093000,59.592000,1571.590573,1462.350247,460.000000,819,-1111.590573,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.100060,-1,20,10000.407000,59.999000,1544.441910,1474.663997,460.000000,819,-1084.441910,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.110059,-1,20,9999.333000,59.332000,1533.077304,1483.425993,460.000000,819,-1073.077304,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.120061,-1,20,10001.982000,61.314000,1616.379310,1503.368990,460.000000,819,-1156.379310,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.130061,-1,20,9999.574000,60.888000,1590.568862,1516.448971,460.000000,819,-1130.568862,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.140059,-1,20,9998.611000,59.499000,1571.098049,1524.646333,460.000000,819,-1111.098049,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.150062,-1,20,10002.870000,62.369000,1648.041185,1543.155561,460.000000,819,-1188.041185,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.160060,-1,20,9997.555000,59.924000,1634.638998,1556.878076,460.000000,819,-1174.638998,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.170058,-1,20,9998.074000,57.998000,1605.793451,1564.215382,460.000000,819,-1145.793451,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.180062,-1,20,10004.352000,62.350000,1667.397295,1579.692669,460.000000,819,-1207.397295,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.190060,-1,20,9997.408000,59.758000,1666.562344,1592.723120,460.000000,819,-1206.562344,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.200059,-1,20,9999.092000,58.850000,1640.625000,1599.908402,460.000000,819,-1180.625000,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.210057,-1,20,9998.074000,56.924000,1682.452642,1612.290038,460.000000,819,-1222.452642,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.220065,-1,20,10008.055000,64.979000,1693.426994,1624.460582,460.000000,819,-1233.426994,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.230063,-1,20,9997.926000,62.905000,1667.580409,1630.928556,460.000000,819,-1207.580409,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.240060,-1,20,9997.148000,60.053000,1698.540513,1641.070350,460.000000,819,-1238.540513,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.250061,-1,20,10000.778000,60.831000,1719.535176,1652.840073,460.000000,819,-1259.535176,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.260060,-1,20,9998.759000,59.590000,1693.997525,1659.013691,460.000000,819,-1233.997525,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.270059,-1,20,9999.315000,58.905000,1706.268959,1666.101981,460.000000,819,-1246.268959,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.280059,-1,20,9999.667000,58.572000,1735.242621,1676.473077,460.000000,819,-1275.242621,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.290058,-1,20,9999.870000,58.442000,1711.793397,1681.771125,460.000000,819,-1251.793397,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.300059,-1,20,10000.759000,59.201000,1713.809289,1686.576850,460.000000,819,-1253.809289,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.310060,-1,20,10000.796000,59.997000,1756.656805,1697.088843,460.000000,819,-1296.656805,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.320061,-1,20,10000.963000,60.960000,1729.092976,1701.889463,460.000000,819,-1269.092976,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.330059,-1,20,9998.241000,59.201000,1723.174367,1705.082198,460.000000,819,-1263.174367,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
0.340060,-1,20,10000.463000,59.664000,1775.218867,1715.602699,460.000000,819,-1315.218867,OpenLoop,NoFIFO,false,OpenLoop_NoFIFO
