PPR,Sampling Window (ms),PWM (%),Settled Interval,Samples,Mean RPM,Median RPM,Standard Deviation (RPM),Coefficient of Variation (%),Minimum RPM,Maximum RPM,Filtered Mean RPM,Filtered SD (RPM),Revolution Increment,File
48,10,0,0+1 to 0+9 s,800,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,mixr1_log_20260902_135230_48ppr_10ms.csv
48,10,10,10+1 to 10+9 s,800,208.2182473325,212.409812,26.83470066175127,12.887775689946817,139.117834,253.612813,208.20413894875,14.703284921943613,28,mixr1_log_20260902_135230_48ppr_10ms.csv
48,10,20,20+1 to 20+9 s,800,474.29006842625,471.496265,18.00140923028103,3.795443006009343,430.950943,531.136974,474.15942302625,5.2878978228278175,63,mixr1_log_20260902_135230_48ppr_10ms.csv
48,10,30,30+1 to 30+9 s,800,732.4407801174999,734.27657,16.322991686696422,2.2285749414550415,656.242847,790.626971,732.4602843600001,3.8960796230655994,97,mixr1_log_20260902_135230_48ppr_10ms.csv
48,10,40,40+1 to 40+9 s,800,981.9869830462501,981.538479,17.211097898724294,1.7526808599166204,928.825105,1051.995926,982.00976901625,5.416222065405173,131,mixr1_log_20260902_135230_48ppr_10ms.csv
48,10,50,50+1 to 50+9 s,800,1242.21516376875,1243.889459,17.9187026908194,1.4424797904137592,1118.169105,1318.775981,1242.1541918775,4.5878945786649625,166,mixr1_log_20260902_135230_48ppr_10ms.csv
48,10,60,60+1 to 60+9 s,800,1503.32087826,1500.635724,20.233442663187603,1.345916427809248,1406.216532,1593.673663,1503.291392555,5.386797132799976,200,mixr1_log_20260902_135230_48ppr_10ms.csv
48,10,70,70+1 to 70+9 s,800,1763.5124535462498,1764.132123,25.647737966700593,1.4543553642122298,1620.385305,1863.191408,1763.50900239125,7.561292913163205,236,mixr1_log_20260902_135230_48ppr_10ms.csv
48,10,80,80+1 to 80+9 s,800,2024.5022405324999,2024.4816099999998,29.83348912003969,1.4736209485346217,1806.716461,2175.538656,2024.4406076950002,7.712131068642504,271,mixr1_log_20260902_135230_48ppr_10ms.csv
48,10,90,90+1 to 90+9 s,800,2283.84990423875,2281.229469,28.482396574406387,1.247122086330805,2124.265004,2426.021232,2283.9192554012498,7.369732518597975,305,mixr1_log_20260902_135230_48ppr_10ms.csv
48,20,0,0+1 to 0+9 s,800,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,mixr1_log_20260902_135434_48ppr_20ms.csv
48,20,10,10+1 to 10+9 s,800,211.09075478625,214.539607,24.608842570905594,11.65794427890717,164.662627,260.353413,211.04029565375,13.672973965730156,28,mixr1_log_20260902_135434_48ppr_20ms.csv
48,20,20,20+1 to 20+9 s,800,477.56212634625,477.735517,15.273149439500456,3.198149224343403,435.441717,524.378309,477.6262222525,5.1587246582400335,64,mixr1_log_20260902_135434_48ppr_20ms.csv
48,20,30,30+1 to 30+9 s,800,737.2921304862501,737.2061610000001,12.186943059877157,1.6529327461883756,697.15716,781.245898,737.3677402837499,3.4538327504665913,98,mixr1_log_20260902_135434_48ppr_20ms.csv
48,20,40,40+1 to 40+9 s,800,997.0878147525,998.554072,11.250818457367918,1.1283678619781978,944.834395,1042.119569,997.04916846625,3.578319097724648,133,mixr1_log_20260902_135434_48ppr_20ms.csv
48,20,50,50+1 to 50+9 s,800,1257.4322703799999,1256.584705,11.515808167247892,0.9158193596994118,1202.500782,1296.727757,1257.44680982125,3.561323872119835,167,mixr1_log_20260902_135434_48ppr_20ms.csv
48,20,60,60+1 to 60+9 s,800,1515.95725359125,1514.11248,15.894864127654282,1.0485034515320206,1454.975397,1576.185976,1515.8974318037501,4.637003671033477,201,mixr1_log_20260902_135434_48ppr_20ms.csv
48,20,70,70+1 to 70+9 s,800,1769.9301885025,1769.097514,18.666142426110575,1.054625913912661,1706.999619,1826.011395,1770.0906031174998,6.510343753252973,235,mixr1_log_20260902_135434_48ppr_20ms.csv
48,20,80,80+1 to 80+9 s,800,2026.1558963075001,2025.064293,15.909639447557078,0.7852129975068092,1957.184763,2088.410564,2026.08520573,5.347575821696898,268,mixr1_log_20260902_135434_48ppr_20ms.csv
48,20,90,90+1 to 90+9 s,800,2281.7826019987497,2281.1504845,18.240783257756522,0.7994093408275763,2201.167969,2371.972178,2281.80834101,6.489414969373237,304,mixr1_log_20260902_135434_48ppr_20ms.csv
96,10,0,0+1 to 0+9 s,800,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,mixr1_log_20260902_135811_96ppr_10ms.csv
96,10,10,10+1 to 10+9 s,800,200.19041774375,208.894362,28.894147717013645,14.433332045891955,140.620106,249.99965,200.15970268375,16.790836322328644,26,mixr1_log_20260902_135811_96ppr_10ms.csv
96,10,20,20+1 to 20+9 s,800,470.51437074875,469.329682,18.506779202191446,3.9333079609748802,421.852515,520.881808,470.5416379525,5.385640774385378,62,mixr1_log_20260902_135811_96ppr_10ms.csv
96,10,30,30+1 to 30+9 s,800,733.24597420875,733.03842,15.691024961291122,2.139940144672925,671.835496,788.955996,733.24201109125,3.9567046775813526,97,mixr1_log_20260902_135811_96ppr_10ms.csv
96,10,40,40+1 to 40+9 s,800,994.95609455125,994.680269,18.50165544020772,1.8595449127383286,890.480297,1096.374589,994.9558730325001,4.73544597926699,132,mixr1_log_20260902_135811_96ppr_10ms.csv
96,10,50,50+1 to 50+9 s,800,1256.55990955,1255.657681,19.267657138469225,1.5333655794708085,1122.533121,1327.243312,1256.567348975,5.447590565066388,167,mixr1_log_20260902_135811_96ppr_10ms.csv
96,10,60,60+1 to 60+9 s,800,1515.1907349812502,1514.0586475,20.64124974770977,1.3622872204247736,1418.460551,1593.641473,1515.2045529475,5.623191351813296,201,mixr1_log_20260902_135811_96ppr_10ms.csv
96,10,70,70+1 to 70+9 s,800,1771.0490817525,1767.787534,23.45266745198919,1.3242245905902368,1590.372685,1864.597094,1771.08474551625,5.829322822510564,236,mixr1_log_20260902_135811_96ppr_10ms.csv
96,10,80,80+1 to 80+9 s,800,2028.042277435,2026.43234,33.378932895769054,1.645869677726128,1808.49202,2164.503038,2028.13567524875,8.118697190594709,270,mixr1_log_20260902_135811_96ppr_10ms.csv
96,10,90,90+1 to 90+9 s,800,2283.0420727562496,2280.989055,32.61719858349689,1.4286726895102333,2109.329017,2391.729183,2283.0091150825,8.846452833134725,303,mixr1_log_20260902_135811_96ppr_10ms.csv
96,20,0,0+1 to 0+9 s,800,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,mixr1_log_20260902_140019_96ppr_20ms.csv
96,20,10,10+1 to 10+9 s,800,216.34322545999996,217.306729,19.695573453246457,9.103854956109085,179.679352,249.878764,216.41238484250005,10.689158446076524,29,mixr1_log_20260902_140019_96ppr_20ms.csv
96,20,20,20+1 to 20+9 s,800,481.88100555125,480.764859,12.857021400452718,2.6680905145337426,453.118634,513.113442,481.87711686125,4.331135333494234,65,mixr1_log_20260902_140019_96ppr_20ms.csv
96,20,30,30+1 to 30+9 s,800,742.4378909600001,743.940602,10.18205458943176,1.3714352019757479,704.644026,782.143823,742.44765266125,2.9137206525912074,99,mixr1_log_20260902_140019_96ppr_20ms.csv
96,20,40,40+1 to 40+9 s,800,1001.9924615012501,1000.710624,8.319167778292906,0.83026251173872,945.262212,1039.052473,1002.0113588112499,2.83295996650112,134,mixr1_log_20260902_140019_96ppr_20ms.csv
96,20,50,50+1 to 50+9 s,800,1260.94035781625,1258.630874,13.743659783210346,1.089953200245902,1208.730117,1304.980366,1260.90132713125,4.172329784010524,169,mixr1_log_20260902_140019_96ppr_20ms.csv
