PPR,Sampling Window (ms),PWM Steps,Average Mean RPM,Average SD (RPM),Median SD (RPM),Worst SD (RPM),Average CV (%),Average Filtered SD (RPM),Total Revolution Increment
48,10,10,1121.433671926875,20.04859684926067,19.117425946734315,29.83348912003969,3.0697743460698312,6.192133264511083,1497
48,20,10,1127.429103715125,14.354699095397748,15.584006783577369,24.608842570905594,2.4712183527661806,5.240951255963784,1498
96,10,10,1125.2790933727497,21.095131313813805,19.9544534430895,33.378932895769054,3.295616091333363,6.473388251668204,1494
96,20,10,1132.286479922625,13.808982064804075,13.50157839897458,23.67121584361606,2.0984615960364854,4.812666129027796,1513
100,10,10,1138.3903020811251,17.80375400664579,17.251432108601115,32.47852666659595,2.255484750402967,4.989556992933345,1518
100,20,10,1139.24305356075,13.496399484085648,14.16571861119467,22.670925389753865,1.844755923705436,4.467412219518243,1519
125,10,10,1139.402929243875,17.675244478603695,16.976273780647315,31.40294804644659,2.1279918160315936,4.885389827374041,1514
125,20,10,1139.835476319,13.061594750688045,12.526080805438504,21.979148744599804,1.7983464428389964,4.237937634095596,1521
192,10,10,1138.08133875175,20.264849702705437,17.133807326413674,37.13509542021917,2.398605863871208,5.4675377953172015,1509
192,20,10,1139.38759175175,15.50381110732442,16.068762244270076,26.375929592490564,1.9701547589229866,4.734359758484953,1519
200,10,10,1131.1198178745,21.198460993855043,22.317058507473128,39.518076013092596,2.883505011474584,5.894011461343038,1501
200,20,10,1135.31498696325,16.450647659648162,17.031522872584034,27.617967334015095,2.3792322236526835,5.349595163300954,1512
250,10,10,1128.78054369225,21.17236397602618,22.51249290609427,36.30070592866927,2.8029748265959444,5.851734900215844,1495
250,20,10,1132.45042350725,18.822819099172136,17.174685579307607,54.78762630972012,2.4972830205085472,5.897723954285226,1503
256,10,10,1134.96065081175,50.30961415348705,18.939308504608704,337.9181489666165,3.749143978649422,13.2446745022919,1512
256,20,10,1138.72664449775,36.16500520767367,15.930295629593026,238.8116141850328,2.9628117449995806,9.45227230248785,1516
