Sampling Window (ms),PWM (%),Comparison,Mean RPM Difference,SD Difference (RPM),CV Difference (%),Revolution Difference
10,0,96 PPR - 48 PPR,0.0,0.0,,0
10,0,100 PPR - 48 PPR,0.0,0.0,,0
10,0,125 PPR - 48 PPR,0.0,0.0,,0
10,0,192 PPR - 48 PPR,0.0,0.0,,0
10,0,200 PPR - 48 PPR,0.0,0.0,,0
10,0,250 PPR - 48 PPR,0.0,0.0,,0
10,0,256 PPR - 48 PPR,0.0,0.0,,0
10,0,100 PPR - 96 PPR,0.0,0.0,,0
10,0,125 PPR - 96 PPR,0.0,0.0,,0
10,0,192 PPR - 96 PPR,0.0,0.0,,0
10,0,200 PPR - 96 PPR,0.0,0.0,,0
10,0,250 PPR - 96 PPR,0.0,0.0,,0
10,0,256 PPR - 96 PPR,0.0,0.0,,0
10,0,125 PPR - 100 PPR,0.0,0.0,,0
10,0,192 PPR - 100 PPR,0.0,0.0,,0
10,0,200 PPR - 100 PPR,0.0,0.0,,0
10,0,250 PPR - 100 PPR,0.0,0.0,,0
10,0,256 PPR - 100 PPR,0.0,0.0,,0
10,0,192 PPR - 125 PPR,0.0,0.0,,0
10,0,200 PPR - 125 PPR,0.0,0.0,,0
10,0,250 PPR - 125 PPR,0.0,0.0,,0
10,0,256 PPR - 125 PPR,0.0,0.0,,0
10,0,200 PPR - 192 PPR,0.0,0.0,,0
10,0,250 PPR - 192 PPR,0.0,0.0,,0
10,0,256 PPR - 192 PPR,0.0,0.0,,0
10,0,250 PPR - 200 PPR,0.0,0.0,,0
10,0,256 PPR - 200 PPR,0.0,0.0,,0
10,0,256 PPR - 250 PPR,0.0,0.0,,0
10,10,96 PPR - 48 PPR,-8.027829588749995,2.0594470552623747,1.5455563559451377,-2
10,10,100 PPR - 48 PPR,11.99045678874998,-9.80438579258556,-5.154060105394546,1
10,10,125 PPR - 48 PPR,15.274787678749988,-11.52378956105017,-6.037042690625209,2
10,10,192 PPR - 48 PPR,12.154847855000014,-9.972750146291986,-5.23622888877645,1
10,10,200 PPR - 48 PPR,3.4291799949999984,-2.8697353637275,-1.5647156364264188,0
10,10,250 PPR - 48 PPR,4.559383001249984,-4.84506834553104,-2.553215481841935,0
10,10,256 PPR - 48 PPR,10.971544432499996,-12.135823540729467,-6.181771271282598,2
10,10,100 PPR - 96 PPR,20.018286377499976,-11.863832847847934,-6.699616461339684,3
10,10,125 PPR - 96 PPR,23.302617267499983,-13.583236616312545,-7.582599046570347,4
10,10,192 PPR - 96 PPR,20.18267744375001,-12.03219720155436,-6.781785244721588,3
10,10,200 PPR - 96 PPR,11.457009583749993,-4.929182418989875,-3.1102719923715565,2
10,10,250 PPR - 96 PPR,12.587212589999979,-6.904515400793414,-4.098771837787073,2
10,10,256 PPR - 96 PPR,18.99937402124999,-14.195270595991841,-7.727327627227735,4
10,10,125 PPR - 100 PPR,3.2843308900000068,-1.7194037684646108,-0.8829825852306632,1
10,10,192 PPR - 100 PPR,0.1643910662500332,-0.16836435370642633,-0.08216878338190448,0
10,10,200 PPR - 100 PPR,-8.561276793749983,6.93465042885806,3.589344468968127,-1
10,10,250 PPR - 100 PPR,-7.431073787499997,4.95931744705452,2.600844623552611,-1
10,10,256 PPR - 100 PPR,-1.0189123562499844,-2.331437748143907,-1.0277111658880518,1
10,10,192 PPR - 125 PPR,-3.1199398237499736,1.5510394147581845,0.8008138018487587,-1
10,10,200 PPR - 125 PPR,-11.84560768374999,8.65405419732267,4.47232705419879,-2
10,10,250 PPR - 125 PPR,-10.715404677500004,6.678721215519131,3.483827208783274,-2
10,10,256 PPR - 125 PPR,-4.303243246249991,-0.6120339796792962,-0.14472858065738858,0
10,10,200 PPR - 192 PPR,-8.725667860000016,7.103014782564486,3.6715132523500316,-1
10,10,250 PPR - 192 PPR,-7.59546485375003,5.127681800760946,2.6830134069345153,-1
10,10,256 PPR - 192 PPR,-1.1833034225000176,-2.1630733944374807,-0.9455423825061473,1
10,10,250 PPR - 200 PPR,1.1302030062499853,-1.9753329818035397,-0.9884998454155163,0
10,10,256 PPR - 200 PPR,7.542364437499998,-9.266088177001967,-4.617055634856179,2
10,10,256 PPR - 250 PPR,6.412161431250013,-7.290755195198427,-3.6285557894406626,2
10,20,96 PPR - 48 PPR,-3.775697677499977,0.5053699719104152,0.1378649549655373,-1
10,20,100 PPR - 48 PPR,11.277871751249961,-4.979973069069395,-1.1137510976737897,2
10,20,125 PPR - 48 PPR,13.538160595000022,-6.007579437005925,-1.3368255911584592,1
10,20,192 PPR - 48 PPR,12.066284739999958,-4.992858335577878,-1.1207476288408098,1
10,20,200 PPR - 48 PPR,3.639453098750039,-2.531488214521728,-0.5585805986825996,0
10,20,250 PPR - 48 PPR,2.7307450824999933,-2.2825267255639954,-0.5002235817045579,1
10,20,256 PPR - 48 PPR,8.29450136624996,-6.479072167524466,-1.4078123638379823,1
10,20,100 PPR - 96 PPR,15.053569428749938,-5.48534304097981,-1.251616052639327,3
10,20,125 PPR - 96 PPR,17.3138582725,-6.51294940891634,-1.4746905461239965,2
10,20,192 PPR - 96 PPR,15.841982417499935,-5.498228307488294,-1.258612583806347,2
10,20,200 PPR - 96 PPR,7.415150776250016,-3.036858186432143,-0.6964455536481369,1
10,20,250 PPR - 96 PPR,6.50644275999997,-2.7878966974744106,-0.6380885366700952,2
10,20,256 PPR - 96 PPR,12.070199043749938,-6.984442139434881,-1.5456773188035196,2
10,20,125 PPR - 100 PPR,2.260288843750061,-1.0276063679365297,-0.22307449348466957,-1
10,20,192 PPR - 100 PPR,0.7884129887499967,-0.01288526650848354,-0.006996531167020148,-1
10,20,200 PPR - 100 PPR,-7.638418652499922,2.448484854547667,0.5551704989911901,-2
10,20,250 PPR - 100 PPR,-8.547126668749968,2.6974463435053995,0.6135275159692317,-1
10,20,256 PPR - 100 PPR,-2.9833703850000006,-1.499099098455071,-0.2940612661641926,-1
10,20,192 PPR - 125 PPR,-1.4718758550000643,1.0147211014280462,0.21607796231764942,0
10,20,200 PPR - 125 PPR,-9.898707496249983,3.4760912224841967,0.7782449924758597,-1
10,20,250 PPR - 125 PPR,-10.807415512500029,3.725052711441929,0.8366020094539013,0
10,20,256 PPR - 125 PPR,-5.243659228750062,-0.47149273051854124,-0.07098677267952302,0
10,20,200 PPR - 192 PPR,-8.426831641249919,2.4613701210561505,0.5621670301582102,-1
10,20,250 PPR - 192 PPR,-9.335539657499965,2.710331610013883,0.6205240471362519,0
10,20,256 PPR - 192 PPR,-3.7717833737499973,-1.4862138319465874,-0.28706473499717244,0
10,20,250 PPR - 200 PPR,-0.9087080162500456,0.2489614889577325,0.05835701697804163,1
10,20,256 PPR - 200 PPR,4.655048267499922,-3.947583953002738,-0.8492317651553827,1
10,20,256 PPR - 250 PPR,5.563756283749967,-4.19654544196047,-0.9075887821334243,0
10,30,96 PPR - 48 PPR,0.8051940912500868,-0.6319667254053005,-0.08863479678211661,0
