ppr,sampling_window_ms,pwm_percent,time_start_s,time_end_s,samples,raw_mean_rpm,raw_median_rpm,raw_std_rpm,raw_p05_rpm,raw_p95_rpm,raw_min_rpm,raw_max_rpm,filtered_mean_rpm,filtered_std_rpm,revolutions_start,revolutions_end,revolution_increment,file
48,10,0,0.0,9.99,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,mixr1_log_20260902_135230_48ppr_10ms.csv
48,10,10,10.0,19.99,1000,206.055490889,210.548806,31.79143525192742,165.09917620000002,249.97625445,0.0,259.689773,204.991668753,26.107860879276185,0,34,34,mixr1_log_20260902_135230_48ppr_10ms.csv
48,10,20,20.0,29.99,1000,470.433154979,470.75866,33.13361821717194,437.498469,500.006125,175.163007,531.136974,468.813190937,33.25446622785032,34,113,79,mixr1_log_20260902_135230_48ppr_10ms.csv
48,10,30,30.0,39.99,1000,728.832072238,733.950229,32.629636686493356,696.4443209,751.207641,437.485519,790.626971,727.3804596790001,32.318251814997225,113,234,121,mixr1_log_20260902_135230_48ppr_10ms.csv
48,10,40,40.0,49.99,1000,977.731669024,983.125158,37.44461972413086,947.3272631000001,1005.035802,701.024851,1051.995926,976.265626709,36.163147914582574,234,397,163,mixr1_log_20260902_135230_48ppr_10ms.csv
48,10,50,50.0,59.99,1000,1236.324037153,1243.744352,41.374488556981674,1208.258217,1260.379914,964.542401,1318.775981,1234.8356071810001,40.53842828137662,397,603,206,mixr1_log_20260902_135230_48ppr_10ms.csv
48,10,60,60.0,69.99,1000,1497.282740389,1500.635724,42.949748074217325,1474.43590795,1531.222132,1182.1929,1593.673663,1495.839017157,40.822853674609355,604,853,249,mixr1_log_20260902_135230_48ppr_10ms.csv
48,10,70,70.0,79.99,1000,1757.259589145,1763.915229,46.50981943230293,1691.16114,1796.3554379999998,1486.153978,1863.191408,1755.784657256,42.44263607978449,853,1146,293,mixr1_log_20260902_135230_48ppr_10ms.csv
48,10,80,80.0,89.99,1000,2016.080708473,2023.346013,52.76205395029488,1931.841113,2062.4782922000004,1749.990725,2175.538656,2014.5462518699999,47.47321778677734,1146,1483,337,mixr1_log_20260902_135230_48ppr_10ms.csv
48,10,90,90.0,99.99,1000,2274.448841792,2281.225249,56.83735229836389,2162.93495505,2333.180035,1874.885819,2426.021232,2273.061225111,49.819307916036614,1483,1863,380,mixr1_log_20260902_135230_48ppr_10ms.csv
