ppr,sampling_window_ms,pwm_steps_measured,active_pwm_start_percent,active_pwm_end_percent,mean_of_pwm_medians_rpm,mean_within_step_sd_rpm,worst_within_step_sd_rpm,mean_filtered_sd_rpm,total_revolution_increment,peak_raw_rpm
48,10,12,10,110,1242.2215990454547,103.93737908104113,716.8093862636681,102.16450113708242,2304,2621.031304
48,20,12,10,110,1247.744703,99.70116793342987,695.0854028121739,101.1291818152756,2305,2573.203491
96,10,13,10,110,1245.3478604999998,97.65251298951529,628.0938271672417,95.62906372105235,2303,2618.954833
96,20,13,10,110,1251.511441409091,88.6941949449499,596.5004655259928,90.38001250671199,2328,2554.684307
100,10,13,10,110,1258.9482153181818,87.86913033493724,582.3381274832005,87.29350802129646,2333,2609.653438
100,20,13,10,110,1258.3705027727271,92.27177169696722,624.456297937755,93.93187849027146,2338,2578.970217
125,10,12,10,110,1258.6395193636365,95.78560728680905,640.8167452865182,95.22991924314016,2334,2614.171126
125,20,12,10,110,1259.0627936363637,104.94712386720379,756.4791787101336,107.0536638932002,2347,2567.956088
192,10,12,10,110,1257.801715090909,95.05225080277523,624.9383600248103,93.42871937925011,2322,2627.344404
192,20,13,10,110,1256.2094138181817,89.48681008775397,599.5191847661179,89.89188101532491,2337,2556.367827
200,10,12,10,110,1250.2346693181817,99.22722564432159,669.1046117528788,97.31853798935846,2313,2609.533398
200,20,12,10,110,1252.3586111363636,103.67208969697454,704.2108009740207,103.9720103736974,2326,2546.897945
250,10,12,10,110,1247.7594539090908,118.14033561232594,696.2426545985907,102.45286229487023,2307,6102.319151
250,20,13,10,110,1250.2921147272727,111.1796810421155,588.517465322073,97.26096548535043,2317,4974.734401
256,10,12,10,110,1254.0913655454544,151.14086526717406,771.4169472475818,114.00824110999561,2327,7119.379543
256,20,12,10,110,1257.5437862727272,132.60579759000663,718.8309240795033,108.97304105909038,2342,5721.628479
